Org;Type_Org;Date_demande;Type_data;Data_pairing;Title;Technical_instruction;Decision;Date_Decision;Status;Inclusion;Exclusion_reason;Specialty;Study_design;Disease or event
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;07  05  19;Dossiers Medicaux;;Evaluation r‚trospective de 2 ans d'‚cole des patients dans la chirurgie proth‚tique de la hanche et du genou;;;;MR004;0;EHR without pairing with national database;;;
Universit‚ / Ecole;;07  05  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;Qu?est-ce qu?apporte les rencontres des ® 4 saisons ¯ … la pratique de m‚decine g‚n‚rale et quelles sont les am‚liorations … faire ?;;;;MR004;0;Survey or cohort without pairing with national data;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;07  05  19;Dossiers Medicaux;;Resensitization rate after drug provocation test and challenge in eighty-three adult outpatients with a distant penicillin allergy.;;;;MR004;0;EHR without pairing with national database;;;
Universit‚ / Ecole;;06  05  19;Dossiers Medicaux;;D‚terminants de l?efficacit‚ d'un programme d'‚ducation  th‚rapeutique ambulatoire dans la pathologie diab‚tique … 3 ans;;;;MR004;0;EHR without pairing with national database;;;
GIP;Recherche publique;ao–t-19;Extraction SNDS;Oui;Quel r“le jou‚ par l?assurance maladie priv‚e dans la constitution des in‚galit‚s territoriales d?accŠs aux soins ? AMPRINTE;Oui;;;INDS;1;;Public health;Economics;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;06  05  19;Dossiers Medicaux;;Efficacit‚ de l' Induction de Tol‚rance Orale … la pomme crue selo un protocole Ultra Rush r‚alis‚ chez 28 patients allergiques aux rosac‚es;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;03  05  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;Des attentes aux r‚ticences des personnes de 75 ans ou plus sur leur sexualit‚ envers leur m‚decin g‚n‚raliste.;;;;MR004;0;Survey or cohort without pairing with national data;;;
Autre;;02  05  19;Autres donn‚es;;S‚ropr‚valence de la Dengue … la R‚union;;;;MR004;0;Ad hoc data without pairing with national data;;;
Autre;;02  05  19;Autres donn‚es;;S‚ropr‚valence de la Dengue sur l'ile de la R‚union;;;;MR004;0;Ad hoc data without pairing with national data;;;
Universit‚ / Ecole;;02  05  19;Dossiers Medicaux, Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;Evaluation ‚conomique de la prise en charge par l?activit‚ physique de patients trait‚s en canc‚rologie pour un cancer du sein;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;02  05  19;Dossiers Medicaux;;Place des maladies mitochondriales dans une cohorte de patients porteurs d?‚pilepsie … d‚but pr‚coce ‚valu‚s dans un centre de r‚f‚rence entre 2007 et 2017;;;;MR004;0;EHR without pairing with national database;;;
Industriel de sant‚;;02  05  19;Dossiers Medicaux;;Etude r‚trospective, multicentrique sur l'‚valuation clinique des implants SWIFT SLING dans le traitement de l'incontinence urinaire d'effort par TVT ou TOT;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;01  05  19;Dossiers Medicaux;;Acceptation de la chirurgie de d‚rivation urinaire non continente chez les patients atteints de scl‚rose en plaques : taux, facteurs de risque et alternatives.;;;;MR004;0;EHR without pairing with national database;;;
Institut de recherche (INSERM, CNRS, etc?);;30  04  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;Phase pilote de l?enquˆte GANYMEDE : exploration qualitative auprŠs d?hommes ayant des rapports sexuels avec d?autres hommes (HSH) n‚s … l?‚tranger et suivis en Ile-de-France, pour la construction d?un questionnaire;;;;MR004;0;Survey or cohort without pairing with national data;;;
Universit‚ / Ecole;;30  04  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;D‚terminants de l'adressage des patientes par les m‚decins g‚n‚ralistes … la Maison des Femmes de Saint-Denis. Etude qualitative auprŠs de m‚decins g‚n‚ralistes.;;;;MR004;0;Survey or cohort without pairing with national data;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;30  04  19;Dossiers Medicaux;;Electromyogramme laryng‚ et injections de toxine botulique dans la prise en charge du EILO;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;30  04  19;Dossiers Medicaux;;Corr‚lation entre la somme des surfaces minimales au niveau des st‚noses des sinus lat‚raux … l?IRM et la pression d?ouverture du LCS … la PL dans le diagnostic d?HTIC;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;30  04  19;Dossiers Medicaux;;Recherche des facteurs pr‚dictifs de r‚cidive et de complication sensitive aprŠs compression gasserienne par ballon chez des patients souffrant de n‚vralgie du trijumeau;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;30  04  19;Dossiers Medicaux, Autres donn‚es;;SEP&Co -Etude de la pr‚valence des comorbidit‚s  chez les patients atteints de scl‚rose en plaques suivis au GHICL;;;;MR004;0;EHR with ad hoc data without pairing with national data;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;30  04  19;Dossiers Medicaux;;CRISTAUX - Caract‚risation par scanner double ‚nergie et spectroscopie Raman des calcifications tendineuses d?hydroxyapatite;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;30  04  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;ECRANS - Modalit‚s d?exposition aux ‚crans des enfants de 0 … 3 ans : ‚valuation des rŠgles instaur‚es au domicile par les parents  en rapport avec les derniŠres recommandations.;;;;MR004;0;Survey or cohort without pairing with national data;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;30  04  19;Dossiers Medicaux;;Apport du b2000 dans la s‚quence de diffusion pour la d‚tection de l?isch‚mie c‚r‚brale;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;30  04  19;Dossiers Medicaux;;Description du 1er cas d‚crit d?athlŠte souffrant d?un EILO efficacement trait‚ par injection de toxine botulique;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;30  04  19;Dossiers Medicaux;;Corr‚lation entre l?‚volution des microkystes de la nucl‚aire interne dans les neuropathies optiques et l?‚volution de l?‚paisseur des fibres optiques;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;30  04  19;Dossiers Medicaux;;Profil clinique, radiologique et ‚volutif des dacryoad‚nites sarco‹dosiques;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;30  04  19;Dossiers Medicaux;;Int‚rˆt de la s‚quence T1 inject‚e tardive dans la recherche d?une r‚cidive de chol‚st‚atome;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;30  04  19;Dossiers Medicaux, Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;Analyse de l?EPId‚miologie de l?infection … CMV, de l?incidence et des facteurs de risque de complications h‚matologiques lors du traitement antiviral de pr‚vention de l?infection … CMV en transplantation cardiaque (EPI-CMV);;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;29  04  19;Dossiers Medicaux;;TRANSARTERIAL CHEMOEMBOLIZATION OF LIVER METASTASIS FROM UVEAL MELANOMA USING MELPHALAN AND CALIBRATED MICROSPHERES : TREATMENT RESPONSE AND COMPLICATIONS_TACE;;;;MR004;0;EHR without pairing with national database;;;
Industriel de sant‚;;29  04  19;Dossiers Medicaux;;CHIBF E : Etude de suivi post-march‚ sur l?utilisation de la cupule CHIBF E dans le cadre d?h‚miarthoplastie;;;;MR004;0;EHR without pairing with national database;;;
Industriel de sant‚;;29  04  19;Dossiers Medicaux;;Etude r‚trospective fran‡aise visant … d‚crire l?‚pid‚miologie et la prise en charge th‚rapeutique des patientes pr‚sentant un cancer du sein pr‚coce HER2+ ayant b‚n‚fici‚ d?un traitement n‚oadjuvant … base d?Herceptin©;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;26  04  19;Dossiers Medicaux;;Facteurs pr‚dictifs de survenue de sialocŠle aprŠs parotidectomie;;;;MR004;0;EHR without pairing with national database;;;
Institut de recherche (INSERM, CNRS, etc?);;26  04  19;Autres donn‚es;;tude qualitative de l'utilisation d'Antibioclic, un systŠme ‚lectronique d'aide … la d‚cision pour la prescription antibiotique en m‚decine g‚n‚rale;;;;MR004;0;Ad hoc data without pairing with national data;;;
Universit‚ / Ecole;;25  04  19;Autres donn‚es;;L?utilisation d?une coupe menstruelle augmente-elle le risque d?expulsion des dispositifs intra-ut‚rins?;;;;MR004;0;Ad hoc data without pairing with national data;;;
Industriel de sant‚;;25  04  19;Dossiers Medicaux;;Etude r‚trospective d?une s‚rie de patients ayant b‚n‚fici‚ d?un transfert de graisse autologue avec le dispositif Fat Washer 800.;;;;MR004;0;EHR without pairing with national database;;;
Universit‚ / Ecole;;25  04  19;Dossiers Medicaux, Autres donn‚es;;Influence de l?unit‚ de mesure (kPa vs mmHg) de l?EtCO2 sur le r‚glage de la ventilation perop‚ratoire des patients ventil‚s et intub‚s sous anesth‚sie g‚n‚rale;;;;MR004;0;EHR with ad hoc data without pairing with national data;;;
Industriel de sant‚;;24  04  19;Dossiers Medicaux;;Retrospective Cohort Study assessing the Long-Term Respiratory Function Evolution in Patients with Duchenne Muscular Dystrophy following their participation in the DELOS Study ? Second Data Collection SYROS-2;;;;MR004;0;EHR without pairing with national database;;;
Institut de recherche (INSERM, CNRS, etc?);;24  04  19;Dossiers Medicaux, Autres donn‚es;;Etude de nouveaux critŠres d?imagerie afin d'am‚liorer le diagnostic de la maladie de Caroli;;;;MR004;0;EHR with ad hoc data without pairing with national data;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;24  04  19;Dossiers Medicaux;;Pertinence des critŠres d'‚valuation h‚modynamique et morphologique des st‚noses cliniquement symptomatiques des fistules art‚rio veineuse d?h‚modialyse. Quels apports dans leur prise en charge diagnostique et dans la prise en charge th‚rapeutique par ang;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;23  04  19;Dossiers Medicaux;;Etude des critŠres en imagerie des tumeurs ORL HPV 16+ fumeur, HPV 16 + non fumeur et HPV 16-.;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;21  04  19;Dossiers Medicaux;;ETUDE EN VIE REELLE DE L?EFFICACITE ET DE LA TOLERANCE DU VEDOLIZUMAB ET DE L?USTEKINUMAB CHEZ LES PATIENTS ATTEINTS DE MALADIE DE CROHN REFRACTAIRES ET/OU INTOLERANTS A UN OU PLUSIEURS ANTI TNF;;;;MR004;0;EHR without pairing with national database;;;
Universit‚ / Ecole;;20  04  19;Dossiers Medicaux;;Infection urinaire … Escherichia coli BLSE : pr‚valence, facteurs de risque et prise en charge en ville dans l?arrondissement de Brignoles en 2018;;;;MR004;0;EHR without pairing with national database;;;
Industriel de sant‚;;19  04  19;Dossiers Medicaux, Autres donn‚es;;Efficacit‚ d'un nouvel algorithme pour la d‚tection de pathologies ost‚o-articulaires;;;;MR004;0;EHR with ad hoc data without pairing with national data;;;
Universit‚ / Ecole;;19  04  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;Usage des r‚seaux sociaux en m‚decine et perception des risques li‚s … cet usage par les ‚tudiants en m‚decine et jeunes m‚decins g‚n‚ralistes rempla‡ants.;;;;MR004;0;Survey or cohort without pairing with national data;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;18  04  19;Dossiers Medicaux;;Recuillir des donn‚es de demie vie du FVIII chez les patients h‚mophiles A trait‚s;;;;MR004;0;EHR without pairing with national database;;;
Industriel de sant‚;;18  04  19;Dossiers Medicaux;;tude r‚trospective, monoccentrique sur l'‚valuation des complications dans le traitement du prolapsus par pose d'implants S.P.R par voie basse de septembre 2014 … septembre 2017 sur 150 patientes;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;17  04  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;AVIC-MG;;;;MR004;0;Survey or cohort without pairing with national data;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;16  04  19;Dossiers Medicaux;;Faisabilit‚ et efficacit‚ du protocole PNET HR+5 dans la population de patients ƒg‚e de 20 ans et plus pr‚sentant une tumeur neuroectodermique primitive … haut risque;;;;MR004;0;EHR without pairing with national database;;;
MinistŠre;MinistŠre/Agences;nov-17;Autres;Oui;R‚alisation d?une phase de test pr‚alable … l?exp‚rimentation du financement de la radioth‚rapie externe bas‚e sur des forfaits au traitement ;Oui;Oui;nov-17;INDS;1;;Oncology;Economics;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;15  04  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;EVALUATION DE L?OPINION DES PATIENTS ET DES PRATICIENS SUR LES TELECONSULTATIONS DE PSYCHIATRIE;;;;MR004;0;Survey or cohort without pairing with national data;;;
Universit‚ / Ecole;;14  04  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;Terr-eSant‚ : le point de vue des m‚decins g‚n‚ralistes;;;;MR004;0;Survey or cohort without pairing with national data;;;
Association / Collectivit‚ territoriale;;12  04  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS, Autres donn‚es;;Mise en place d'une enquˆte RPS auprŠs du personnel d'un ‚tablissement public;;;;MR004;0;Survey or cohort without pairing with national data;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;12  04  19;Dossiers Medicaux;;Fr‚quence des profils histologiques et biomol‚culaires des cancers broncho-pulmonaires pris en charge … La R‚union;;;;MR004;0;EHR without pairing with national database;;;
Institut de recherche (INSERM, CNRS, etc?);;11  04  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;Cr‚ation et ‚valuation de posters comme outil d?‚ducation … la sant‚;;;;MR004;0;Survey or cohort without pairing with national data;;;
Universit‚ / Ecole;;11  04  19;Dossiers Medicaux;;Efficacit‚ d'un dispositif th‚rapeutique, type harnais dorsal, dans le syndrome d'apn‚es hypopn‚es du sommeil positionnel;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;11  04  19;Dossiers Medicaux;;Validation de la pr‚diction des d‚formations art‚rielles dues … l'insertion d'outils lors d'une EVAR par la simulation num‚rique.;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;11  04  19;Dossiers Medicaux;;Place de l?examen dermatologique dans le d‚pistage pr‚coce des neurofibromatoses de type 2 dans une population p‚diatrique de 0 … 15 ans;;;;MR004;0;EHR without pairing with national database;;;
Industriel de sant‚;;10  04  19;Dossiers Medicaux;;Cohorte r‚trospective patients atteints de my‚lome multiple r‚cidivant/r‚fractaire (MMRR),;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;10  04  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;Perception de la PrEP par un ‚chantillon de population expos‚e au risque du VIH, avec des critŠres d?accessibilit‚ … la PrEP;;;;MR004;0;Survey or cohort without pairing with national data;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;10  04  19;Dossiers Medicaux;;ratio neutrophile sur lymphocyte;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;10  04  19;Dossiers Medicaux;;Evaluation de la sarcop‚nie chez des patients atteints de cancer en situation palliative pr‚coce;;;;MR004;0;EHR without pairing with national database;;;
Association / Collectivit‚ territoriale;;09  04  19;Dossiers Medicaux;;SAFETY AND EFFICACY OF INOTUZUMAB OZOGAMYCIN FOR ACUTE LYMPHOBLASTIC LEUKEMIA (ALL);;;;MR004;0;EHR without pairing with national database;;;
Bureau d?‚tude / CRO;;09  04  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;er;;;;MR004;0;Survey or cohort without pairing with national data;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;09  04  19;Dossiers Medicaux;;Prise en charge des fistules anastomotiques aprŠs chirurgie colorectale : place du traitement m‚dical, interventionnel, endoscopique et chirurgical;;;;MR004;0;EHR without pairing with national database;;;
Universit‚ / Ecole;;09  04  19;Dossiers Medicaux;;tude quantitative du bien-ˆtre et du niveau d?activit‚ physique des usagers du dispositifs APSO (Activit‚ Physique Sur Ordonnance) de salon de provence par questionnaires … l?entr‚e de l?‚tude (T0), … au moins une ann‚e de prise en charge (T1) et … T2;;;;MR004;0;EHR without pairing with national database;;;
Institut de recherche (INSERM, CNRS, etc?);;05  04  19;Dossiers Medicaux;;Etude r‚trospective des effets ind‚sirables des immunoth‚rapies anti-tumorales en r‚animation;;;;MR004;0;EHR without pairing with national database;;;
Industriel de sant‚;;05  04  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;FRESC : Etude r‚trospective des caract‚ristiques et des strat‚gies de traitements des patients CBPC issus des cohortes KBP-2010 et ESCAP-2011;;;;MR004;0;Survey or cohort without pairing with national data;;;
Centre de recherche;Recherche publique;sept-18;Extraction SNDS;non;Recherche interventionnelle (e?valuation de l?efficacite? d?une intervention e?ducationnelle) et e?valuation de la couverture vaccinale HPV et DTP booster (contro?le) ;Oui;Oui;oct-18;INDS;1;;Infectiology;Descriptive;HPV
CHU;Recherche publique;sept-18;Dossiers M‚dicaux;oui;Recueil des caract‚ristiques de conditionnement, pr‚lŠvement et conservation des greffons issus de donneurs de type Maastricht III;Oui;Oui;mai-19;INDS;1;;Internal medicine;Transversal study;Transplantation
Universit‚ / Ecole;;04  04  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;Etude ‚pid‚miologique de recours aux Th‚rapeutes Non Professionnels de Sant‚ en population g‚n‚rale;;;;MR004;0;Survey or cohort without pairing with national data;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;09  01  19;PMSI national;;REFREC V2017;;;;MR005;1;;Unknown;;
Industriel de sant‚;;04  04  19;Dossiers Medicaux;;Validation d'un marqueur pour la survenue d'un sepsis s‚vŠre et/ou d'un choc septique;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;04  04  19;Dossiers Medicaux;;Etude r‚trospective de l?immunoth‚rapie anti-canc‚reuse en fin de vie et de la prise en charge palliative chez des patients d‚c‚d‚s d?un cancer en stade avanc‚ pendant l?ann‚e 2018;;;;MR004;0;EHR without pairing with national database;;;
Industriel de sant‚;;04  04  19;PMSI national;;Analyse des caract‚ristiques des patients pris en charge pour la SEP;;;;MR006;1;;Neurology;Longitudinal study;Multiple sclerosis
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;03  04  19;Dossiers Medicaux;;URGO-PPS-SP : Depuis le service des URGences, Observation d'un Parcours Personnalis‚ de Soins de patients relevant de Soins Palliatifs;;;;MR004;0;EHR without pairing with national database;;;
Universit‚ / Ecole;;03  04  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;Etude observationnelle analytique prospective de cohorte sur les facteurs professionnels et socio culturels influen‡ant l'ƒge de survenue d'un premier ‚pisode lombalgique r‚alis‚e … TROYES dans l?Aube;;;;MR004;0;Survey or cohort without pairing with national data;;;
CHU;Recherche publique;juil-18;Registres;Oui;Registre des cancers thyro‹diens du d‚partement du Rh“ne;Oui;Oui;sept-18;INDS;1;;ENT;Longitudinal study;Oncology
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;02  04  19;Dossiers Medicaux, Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;Cohorte r‚trospective de patients suivis pour neuroblastome olfactif … l'ICL et au CHRU.;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;02  04  19;Dossiers Medicaux;;Evaluation de la sarcop‚nie en tant que facteur pronostic ind‚pendant de la survie chez les patients atteints d?un cancer de la tˆte et du cou localement avanc‚.;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;01  04  19;Dossiers Medicaux, Autres donn‚es;;Evaluation du Suivi Informatis‚ en Onco-H‚matologie ESICO;;;;MR004;0;EHR with ad hoc data without pairing with national data;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;01  04  19;Dossiers Medicaux;;Description des principaux tableaux cliniques en m‚decine traditionnelle chinoise de patients trŠs symptomatiques hospitalis‚s en soins palliatifs;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;01  04  19;Dossiers Medicaux, Autres donn‚es;;dataSKIN;;;;MR004;0;EHR with ad hoc data without pairing with national data;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;31  03  19;Dossiers Medicaux;;Etude descriptive monocentrique de la filiŠre AVC;;;;MR004;0;EHR without pairing with national database;;;
Industriel sant‚;Recherche priv‚e;janv-19;C‚pidc seul;Oui;Registre observationnel r‚trospectif de d‚cŠs dans le cadre du suivi du protocole A4001067;Oui;Oui;fevrier 2019;INDS;1;;Infectiology;Pharmacoepidemiology;HIV
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;29  03  19;Dossiers Medicaux;;PEC-PRP-AD - Etude r‚trospective multicentrique sur la prise en charge diagnostique et th‚rapeutique du pityriasis rubra pilaire de l?adulte.;;;;MR004;0;EHR without pairing with national database;;;
Autre;;29  03  19;Dossiers Medicaux;;EmmY - Epid‚miologie de la prise en charge th‚rapeutique du my‚lome multiple en France;;;;MR004;0;EHR without pairing with national database;;;
Autre;;29  03  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS, Autres donn‚es;;Analyse subjective des perceptions sensorielles;;;;MR004;0;Survey or cohort without pairing with national data;;;
Autre;;29  03  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS, Autres donn‚es;;Analyse subjective des perceptions sensorielles;;;;MR004;0;Survey or cohort without pairing with national data;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;29  03  19;Dossiers Medicaux;;Efficacit‚ de la bandelette 4 bras de Type Virtue © dans la prise en charge de l?incontinence urinaire masculine … l?effort : ‚tude r‚trospective;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;29  03  19;Dossiers Medicaux;;Etude de l'influence d'un traitement pr‚alable par un inhibiteur du systŠme r‚nine-angiotensine sur la survenue d'une neuropathie chimio-induite chez les patients trait‚s pour un cancer solide;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;28  03  19;Dossiers Medicaux;;Radioth‚rapie des m‚ningiomes de la base du crƒne et effets sur l?hypophyse.;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;27  03  19;Dossiers Medicaux;;ETUDE DE L?ASSOCIATION ENTRE LE RYTHME CARDIAQUE F?TAL PENDANT LE TRAVAIL ET L?ACIDOSE NEONATALE DU NOUVEAU NE A TERME : Etude ASRYTAN;;;;MR004;0;EHR without pairing with national database;;;
CHU;Recherche publique;juil-18;Dossiers M‚dicaux;Oui;R‚hospitalisations non programm‚es : d‚finition et validation d?un algorithme dans le contexte fran‡ais;Oui;Oui;sept-18;INDS;1;;Public health;Longitudinal study;
Industriel de sant‚;;26  03  19;Enquˆte / Cohorte / Registre n'incluant pas des donn‚es du SNDS;;AMBRE : Acceptation patient et recevabilit‚ d?une nouvelle forme de buprenorphine Buvidal© (CAM2038);;;;MR004;0;Survey or cohort without pairing with national data;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;25  03  19;Dossiers Medicaux;;Machine learning et imagerie  dans le diagnostic diff‚rentiel entre radion‚crose c‚r‚brale et rechute tumorale aprŠs irradiation en conditions st‚r‚otaxiques de m‚tastases c‚r‚brales;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;25  03  19;Dossiers Medicaux;;Etude observationnelle sur la prise en charge des patients Dialys‚s trait‚s pour un Cancer du Rein M‚tastatique sous Traitement Syst‚mique_ Etude DiaCaRMeTS;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;22  03  19;Dossiers Medicaux;;HYPOTENSION : Prise en charge d?une hypotension art‚rielle chez des  nouveau n‚s pr‚matur‚s;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;22  03  19;Dossiers Medicaux;;Int‚rˆt de la r‚alisation d?une tomoscintigraphie pr‚coce dans l?exploration des douleurs subaigu‰s ou chroniques des extr‚mit‚s inf‚rieures par scintigraphie osseuse.;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;22  03  19;Dossiers Medicaux;;® Cicatrice radiaire : quelle prise en charge en 2019 ? ¯;;;;MR004;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;22  03  19;Dossiers Medicaux;;Donn‚es de vie r‚elle de patients porteurs de cancers bronchiques non … petites cellules r‚sistants primaires ou secondaires … l?immunoth‚rapie;;;;MR004;0;EHR without pairing with national database;;;
